mx,my,mz
4956,3492,6454
4956,3492,6454
4872,3596,7146
4872,3596,7146
4872,3596,7146
4737,3478,7695
4737,3478,7695
4490,3436,8183
4194,3349,8624
3917,3324,8929
3917,3324,8929
3705,3336,9162
3705,3336,9162
3454,3344,9301
3287,3360,9371
3287,3360,9371
3285,3392,9400
3440,3390,9316
3747,3401,9061
4047,3449,8839
4352,3389,8457
4352,3389,8457
4352,3389,8457
4352,3389,8457
4582,3407,8053
4969,3039,6917
4906,2953,7312
4906,2953,7312
4753,2893,7718
4591,2820,8082
4591,2820,8082
4425,2671,8372
4258,2609,8559
4114,2614,8761
3921,2722,8987
3921,2722,8987
3667,2732,9190
3434,2578,9323
3230,2496,9437
3269,2370,9377
3269,2370,9377
3452,2354,9265
3747,2494,9056
4041,2581,8842
4356,2597,8399
4610,2676,7998
4928,2594,6407
4950,2532,6377
4895,2448,6592
4855,2394,6830
4825,2428,7193
4825,2428,7193
4825,2428,7193
4825,2428,7193
4757,2458,7565
4654,2375,7911
4471,2247,8077
3908,1911,8717
4483,2114,7992
4751,1859,6509
4751,1859,6509
4752,1868,6877
4684,1893,7330
4684,1893,7330
4719,1787,6826
4576,1613,5941
4577,1645,6132
4577,1645,6132
4637,1693,6919
4727,1797,6587
4395,1464,5527
4475,1561,5771
4711,1803,6491
4575,1602,5945
4340,1342,5747
3947,819,7263
3575,825,8034
2997,987,8751
2997,987,8751
2334,1357,9348
2334,1357,9348
1697,1812,9645
1267,1948,9667
-263,3322,9514
-640,3460,9253
-984,3274,8979
-1301,2965,8681
-1501,2644,8443
-1357,2363,8467
-1357,2363,8467
-789,2009,8928
1968,3061,9850
1426,3335,9931
-1500,3413,8462
-1740,3238,8167
-1792,2957,8037
-1792,2957,8037
-1817,2700,8023
-1715,2523,8033
-1450,2344,8371
-1450,2344,8371
-826,2086,9033
473,3309,9765
473,3309,9524
-103,3398,9524
-686,3332,9274
-480,2223,9197
-1091,2399,8817
-1132,2369,8734
-1197,2431,8732
-1300,2509,8652
-1536,3437,8386
-1539,3516,8377
-1540,3622,8420
-1479,3690,8408
-1440,3767,8473
-1440,3816,8465
-1367,3816,8465
