mx,my,mz
2731,3469,9660
2719,3469,9660
2733,3465,9634
2791,3009,9711
2777,3009,9731
2781,2960,9697
2785,2924,9720
2722,2902,9695
2746,2843,9747
2733,2872,9765
2735,2780,9760
