mx,my,mz
3807,4285,8427
4216,3931,8123
4310,3848,8110
4330,3837,8034
4444,3771,7941
4435,3680,7922
4506,3577,7858
4531,3511,7852
2941,4073,9187
2904,3980,9232
2857,3901,9308
2746,3585,9462
2688,3445,9513
2649,3284,9527
2657,3187,9530
2653,3090,9543
2712,2983,9505
2725,2942,9531
2725,2942,9531
2790,2835,9589
2790,2835,9499
2795,2758,9499
2868,2665,9500
2886,2587,9538
2880,2473,9451
2931,2380,9381
2937,2341,9393
2937,2341,9393
2997,2269,9351
3035,2204,9341
3090,2178,9307
3131,2161,9216
3194,2170,9192
3289,2131,9113
3356,2080,9103
3415,2046,9092
3408,2020,9043
3410,2026,8975
3433,2006,9035
2978,2310,9409
2910,2334,9416
2877,2365,9399
2853,2426,9439
2674,2885,9528
2673,2909,9570
2310,2608,9648
1867,2721,9693
1867,2721,9693
1208,2821,9734
498,2729,9614
-211,2570,9394
-211,2570,9394
-769,2425,9003
-1206,2261,8688
-1520,2315,8395
-1520,2315,8395
-1721,2396,8159
-1691,2374,8070
-1713,2478,8089
-1764,2561,8087
-1708,2634,8200
-1625,2577,8227
-1625,2577,8227
-1489,2434,8384
-1400,2525,8524
-1418,2700,8490
-1418,2700,8490
-1474,2828,8448
-1585,2894,8386
-1585,2930,8378
-1585,2950,8307
-1585,2950,8307
-1562,2822,8416
-1536,2704,8429
-1497,2559,8439
-1436,2425,8520
-1362,2182,8496
-1311,2092,8543
-1230,1975,8575
-1179,1928,8625
-1111,1926,8645
-1002,1903,8682
-972,1906,8732
-972,1906,8732
-978,1928,8754
-987,2019,8753
-987,2028,8659
-1074,2028,8659
-1074,2028,8659
-1246,2118,8614
-1346,2144,8436
-1456,2167,8445
-1412,2155,8433
-1424,2253,8500
-1344,2236,8480
-1328,2208,8611
-1180,2289,8727
-1049,2292,8831
-1074,2396,8838
-1067,2660,8900
-1067,2660,8900
-409,2609,9278
-409,2609,9278
253,2437,9542
903,2185,9642
1650,2004,9571
2095,1787,9470
2302,1422,9268
2237,1069,9067
2048,493,8604
2138,144,8094
2016,145,8111
1778,40,8061
1890,0,7961
1727,107,8214
1727,107,8708
1401,513,8708
1427,982,9146
1328,1583,9438
1397,1937,9575
1542,2114,9611
1542,2114,9700
1238,2450,9700
1425,2497,9736
1487,3155,9713
1651,3710,9547
1586,3835,9633
1667,4283,9382
1733,4937,9001
1825,4895,9071
1755,4775,9138
1080,4071,9502
210,3674,9476
-748,1975,8983
-625,2011,9074
-498,2149,9175
-454,2145,9265
-305,2216,9294
-222,2294,9369
-222,2346,9405
-135,2346,9405
-116,2368,9403
-107,2453,9488
-107,2453,9488
-71,2558,9481
-115,2696,9466
-80,2812,9526
-63,2880,9525
-60,2929,9513
-60,2929,9513
-32,3049,9506
-2,3194,9505
75,3320,9502
70,3443,9471
-26,3503,9422
-26,3503,9422
-39,3582,9405
-66,3739,9376
-114,3796,9298
-180,3868,9224
-305,3921,9114
-305,3921,9114
-382,4005,9105
-428,4045,9066
-432,4121,9031
-461,4186,9009
-432,4264,8946
-479,4227,8934
-473,4275,8949
-515,4431,8844
-590,4430,8763
-632,4434,8698
-700,4504,8625
-746,4481,8636
-811,4556,8582
-839,4559,8522
-872,4580,8492
-945,4560,8444
-1036,4503,8359
-1131,4451,8262
-1131,4451,8262
-1208,4407,8268
-1290,4360,8231
-1336,4333,8145
-1374,4268,8119
-1429,4227,8079
-1455,4210,8076
-1472,4174,8052
-1542,4182,8016
-1516,4179,7961
-1551,4160,7957
-1603,4137,7903
-1637,4137,7854
-1633,4133,7865
-1661,4094,7816
-1715,4013,7790
-1693,3986,7779
-1766,3965,7814
-1772,3895,7779
-1772,3895,7836
-1781,3819,7836
-1778,3777,7748
-1831,3779,7787
-1826,3745,7798
-1825,3624,7860
-1796,3507,7907
-1735,3476,8023
-1729,3380,8074
-1729,3380,8074
-1763,3231,8061
-1793,3166,8038
-1777,2976,8058
-1810,2883,8021
-1815,2741,8062
-1801,2676,8036
-1798,2673,8009
-1765,2671,8107
-1765,2671,8107
-1746,2642,8106
-1728,2617,8083
-1689,2571,8120
-1723,2545,8125
-1730,2506,8090
-1537,2338,8284
-1445,2287,8345
-1379,2209,8425
-1323,2171,8472
-1256,2055,8522
-1587,2814,8319
-1587,2814,8319
-1534,2929,8416
-1643,3024,8324
-1610,3223,8322
-1362,3003,8612
-1362,3003,8612
-1210,2933,8760
-1291,3139,8673
-1510,3374,8424
-1701,3593,8021
-1159,3555,8709
-804,3420,9062
-678,3656,9057
-985,4302,8550
-25,3681,9366
-1077,4322,8454
-1084,4347,8418
-937,4252,8612
-619,4067,8934
-320,3759,9218
336,3221,9560
336,3221,9348
-88,3428,9348
-524,3349,9211
-785,3199,9037
-1070,3048,8825
-1070,3048,8825
-1260,2941,8636
-1228,2722,8692
-976,2571,8902
-733,2418,9043
-441,2328,9217
1327,2435,9683
1890,2220,9577
2383,2208,9484
2818,2178,9396
3005,2034,9281
3038,1867,9209
1743,2348,9669
1400,2693,9756
1374,2850,9687
1484,2867,9671
1484,2867,9671
1725,3714,9608
1312,3881,9600
1095,4009,9576
1071,3977,9550
1194,3968,9575
1480,3914,9526
1821,3652,9597
736,4141,9414
460,4151,9329
287,4089,9289
230,4060,9281
225,3925,9407
375,3646,9477
555,3536,9578
952,3340,9659
1279,3306,9725
1470,3383,9707
1384,3489,9658
1054,3536,9650
188,3883,9378
-161,4027,9210
-283,3853,9206
-267,3762,9266
-151,3679,9342
2,3677,9375
268,3420,9550
590,3116,9649
799,3080,9688
846,3140,9734
609,3250,9621
324,3474,9546
-553,3193,9239
-651,2950,9182
-652,2740,9156
-524,2661,9219
-407,2595,9276
-296,2345,9261
-384,2192,9192
-258,1948,9213
1699,2139,9612
